cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
"13,50%","33,29%","-1,51","-1,27","-0,34","4,68","18,68","15,76","0,20","1,77","2,03","89,87%","60,06%","71,20%","64,61","R$ 55,85","34,17","R$ 53,61","44,52%","-3,87","15,24","20,19","17,03","0,47","2,44","0,51","27,24","0,53","12,13","4,61","8,96%","16,93%","13,42%","R$ 2,5942",B3SA3,ON,"55,40","42,75%","1,54%","3,34%","12,01"
-%,"3,53%","0,79","0,68","0,21","0,31","6,15","5,29","0,78","1,61","1,35","20,47%","12,67%","14,72%","10,51","R$ 10,51","3,08","R$ 7,36","8,71%","-2,43","1,77","5,36","4,61","0,63","0,53","0,01","7,80","0,37","0,68","1,44","6,76%","18,48%","11,20%","R$ 0,0321",POSI3,ON,"10,50","200,86%","4,79%","34,62%","7,29"
-%,"-3,29%","6,62","3,04","1,06","4,54","12,60","5,79","0,28","1,04","0,54","45,56%","18,24%","39,67%","30,60","R$ 23,32","15,38","R$ 22,62","2,61%","-0,35","48,95","5,95","2,74","0,68","0,30","-0,51","41,57","0,32","1,09","0,95","0,72%","2,28%","6,17%","R$ 1,0273",PETR3,ON,"22,65","42,99%","-1,18%","-0,83%","23,85"
-%,"6,62%","0,17",-,"0,03",-,"3,90",-,"0,96","0,95","8,12","26,83%","5,13%",-%,-,"R$ 87,63",-,"R$ 72,04","4,25%","-0,54","-22,98","7,36",-,"0,68","0,36","0,05","8,88","0,32","0,38","1,15","4,09%","12,96%","7,58%","R$ 0,0000",PCAR4,PN,"72,11",-%,"0,00%",-%,"62,63"
"75,16%","17,73%","-0,14",-,"-0,05","0,36","3,69",-,"1,05","2,60","9,99","17,50%","16,43%",-%,"49,19","R$ 49,19","14,20","R$ 40,93","12,71%","-3,50","1,31","3,81",-,"0,56","0,66","0,01","4,92","0,44","0,63","1,49","13,32%","30,18%","14,13%","R$ 0,1794",PATI3,ON,"49,19","159,44%","4,39%","20,18%","33,09"
-%,"-42,64%","-2,18","-2,21",-,-,"-2,62","-2,66","0,05","0,33","0,87","44,54%","-499,55%","-492,58%","14,50","R$ 9,89","3,50","R$ 9,50","19,62%","-0,16","-0,14","-0,44","-0,44","1,34","0,10","-0,11","11,09","-0,34","2,18","-0,30","0,92%","-2,70%","-132,00%","R$ 0,0000",RSID3,ON,"9,66","138,52%","0,52%","0,31%","-32,28"
-%,-%,"-0,38","-0,50","0,05",-,"-7,70","-10,13","0,33","0,40","-20,46","38,67%","-11,71%","-8,90%","118,82","R$ 75,25","53,24","R$ 69,50","-23,37%","-0,31","-1,77","-7,31","-9,63","0,69","0,28","-0,01","-3,67","0,31","0,86","0,90","-7,61%","-24,59%","-12,58%","R$ 0,0000",BAHI3,ON,"75,00","39,35%","0,00%","7,91%","83,20"
"33,76%","7,87%","1,17","0,91","0,48",-,"5,06","3,93","1,05","2,52","5,46","41,15%","16,49%","21,22%",-,"R$ 21,97",-,"R$ 19,02","9,34%","-0,85","0,94","1,97","1,53","0,58","0,34","-0,34","3,49","0,42","0,33","0,82","9,77%","23,42%","15,89%","R$ 0,0000",NAFG4,PN,"19,02",-%,"0,00%",-%,"23,30"
-%,"4,73%",-,-,-,-,"-1,36","-1,28","0,05","0,65","-0,43","21,25%","-18,97%","-20,05%",-,R$ -,-,R$ -,"-9,65%","0,00","0,00","0,00","0,00","0,94","0,00","0,00","0,00","0,06","0,00","0,00","-0,46%","-8,03%",-%,"R$ 0,0000",PINE3,ON,"0,00",-%,"0,00%",-%,"5,35"
-%,"28,12%","2,00","1,70","4,48","1,05","3,76","3,19","1,71","1,33","4,64","17,37%","11,64%","13,70%","19,36","R$ 19,36","9,46","R$ 17,32","4,89%","-0,65","3,02","1,75","1,49","0,91","0,35","0,00","4,17","0,09","0,20","3,92","8,36%","93,96%","23,40%","R$ 0,2039",MRFG3,ON,"19,36","104,65%","0,31%","9,56%","4,94"
-%,"-3,97%","-3,90","-2,49","-0,80",-,"13,19","8,42","0,42","2,89","-0,03","85,42%","21,33%","33,39%","6,10","R$ 4,29","3,19","R$ 4,04","-3,07%","-2,75","5,27","17,09","10,92","0,56","1,53","-6,03","-118,62","0,44","3,65","3,51","-1,29%","-2,96%","10,84%","R$ 0,0000",LPSB3,ON,"4,12","7,57%","0,49%","-1,20%","1,18"
-%,"-2,17%","-0,86","-1,21","0,07",-,"-5,62","-7,91","0,07","1,76","-8,56","22,36%","-65,25%","-46,36%","55,00","R$ 48,00","47,00","R$ 48,00","-54,53%","-0,23","9,04","-4,69","-6,60","0,41","0,22","-0,11","-5,61","0,59","3,06","0,37","-3,94%","-6,63%","-8,90%","R$ 0,0000",MSPA3,ON,"48,00","-12,73%","0,00%","0,00%","129,21"
-%,-%,"3,09",-,"3,86",-,"17,95",-,"0,58","0,78","0,05","37,45%","26,35%",-%,"22,21","R$ 21,79","19,70","R$ 20,55","0,90%","-2,98","-35,17","14,85",-,"0,88","2,29","19,68","432,73","0,12","3,91","18,54","0,53%","4,29%","19,46%","R$ 0,0000",ORVR3,ON,"21,47","-2,41%","0,80%","1,75%","1,16"
-%,"-44,40%","-7,74",-,-,-,"-7,83",-,"0,01","0,02","-276,44","100,00%","-5.794,61%",-%,"30,35","R$ 16,65","2,97","R$ 16,00","-8.675,46%","-0,03","-0,09","-0,09",-,"4,67","0,03","0,00","-0,06","-3,67","5,02","-0,01","-58,50%","-15,94%","63,72%","R$ 0,0000",OSXB3,ON,"16,00","416,13%","-0,25%","-0,62%","-1.733,99"
-%,-%,"8,98","4,22","4,03",-,"33,32","15,66","0,57","1,29","-0,11","19,48%","11,06%","23,52%","11,15","R$ 8,80","7,14","R$ 7,14","-3,55%","-2,19","23,27","24,34","11,44","0,86","1,54","0,22","-75,83","0,14","2,69","10,94","-2,03%","-14,43%","6,40%","R$ 0,0000",OPCT3,ON,"8,65","-22,42%","1,41%","-1,48%","0,79"
-%,"-0,73%","0,97","0,88",-,-,"1,73","1,58","0,80","0,37","12,09","11,17%","31,90%","34,90%","13,50","R$ 6,28","2,40","R$ 5,96","17,01%","-0,09","-0,16","0,26","0,24","2,01","0,07","0,00","0,50","-1,01","0,08","-0,07","13,53%","-13,44%","-27,44%","R$ 0,0000",MWET4,PN,"5,99","105,14%","-1,80%","-3,39%","-89,91"
-%,-%,"-6,96","-4,71","-0,52",-,"45,57","30,80","0,32","4,95","0,05","65,36%","16,05%","23,75%","11,73","R$ 7,92","4,43","R$ 7,29","5,81%","-7,41","5,36","52,53","35,51","0,31","2,71","3,39","145,02","0,69","8,43","3,95","1,87%","2,72%","3,77%","R$ 0,0000",NGRD3,ON,"7,51","69,53%","0,40%","-0,13%","1,90"
-%,"0,14%","-10,56","-24,66","3,37",-,"-11,65","-27,19","0,84","0,67","-64,96","10,69%","-6,12%","-2,62%","63,00","R$ 49,00","36,00","R$ 46,81","-13,32%","-0,13","-0,50","-1,63","-3,80","0,84","0,08","0,00","-0,75","0,16","0,10","0,52","-11,19%","-69,40%","-21,36%","R$ 0,0000",MTIG4,PN,"48,60","21,14%","3,82%","-0,82%","93,61"
"10,21%","27,48%","8,92","3,78","1,15","0,84","26,31","11,16","0,48","0,97","0,36","21,19%","7,45%","17,56%","21,57","R$ 17,70","8,45","R$ 16,65","2,67%","-0,86","-77,77","17,39","7,38","0,72","0,62","-0,93","48,53","0,28","1,30","2,24","1,28%","4,62%","4,05%","R$ 0,1478",MOVI3,ON,"17,70","65,89%","0,91%","6,31%","7,89"
-%,"16,61%","1,28",-,"0,43",-,"7,91",-,"1,12","2,56","26,82","19,50%","7,18%",-%,"279,99","R$ 279,70","40,50","R$ 279,70","4,56%","-1,21","1,57","6,63",-,"0,76","0,53","-0,12","10,43","0,24","0,48","2,20","5,13%","21,10%","18,16%","R$ 0,0000",NUTR3,ON,"279,70","590,62%","0,00%","0,00%","127,11"
-%,-%,"-6,14","-2,69","-0,40","0,12","350,81","153,81","0,34","1,79","0,03","42,06%","9,05%","20,64%","34,99","R$ 27,49","5,12","R$ 24,00","4,04%","-24,46","44,20","356,95","156,50","0,54","10,86","86,51","799,00","0,46","32,31","23,40","1,36%","2,93%","4,13%","R$ 0,0318",LWSA3,ON,"26,94","426,17%","0,71%","12,20%","1,15"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,"14,18%","7,07",-,"2,49",-,"1.029,27",-,"0,49","0,87","0,04","30,06%","15,05%",-%,-,"R$ 702,50",-,"R$ 702,50","0,90%","-105,58","-1.875,39","1.022,20",-,"0,79","75,79","1.023,48","17.076,54","0,21","153,79","360,19","0,44%","2,11%","7,88%","R$ 0,0000",MSRO3,ON,"702,50",-%,"0,00%",-%,"1,95"
-%,"-2,55%","-8,49","-0,70","-0,10",-,"134,86","11,14","0,34","3,84","-0,02","39,39%","2,67%","32,36%","8,00","R$ 7,79","3,75","R$ 6,55","-0,94%","-2,10","4,76","143,35","11,84","0,26","1,31","4,57","-408,69","0,74","3,83","1,77","-0,32%","-0,43%","0,45%","R$ 0,0000",MILS3,ON,"7,70","48,36%","-1,16%","17,56%","4,36"
-%,"-53,72%","-2,38",-,-,-,"-3,24",-,"0,01","0,10","-51,81","19,54%","-4.232,60%",-%,"34,50","R$ 33,90","4,80","R$ 30,00","-5.843,94%","-0,21","-0,12","-0,80",-,"2,57","0,18","0,85","-0,58","-1,57","33,84","-0,11","-30,72%","-19,63%","21,52%","R$ 0,0000",INEP4,PN,"30,00","351,81%","-1,02%","-10,74%","-264,00"
"-1,92%","10,65%","2,25","1,63","1,06","1,62","6,35","4,60","1,65","1,48","1,83","16,73%","7,59%","10,47%","34,51","R$ 34,51","19,11","R$ 30,33","1,70%","-0,81","4,26","4,09","2,97","0,73","0,51","-0,75","18,25","0,27","0,31","1,93","2,81%","10,56%","15,44%","R$ 0,5406",JBSS3,ON,"33,41","60,16%","-3,19%","9,72%","17,34"
-%,-%,"0,07",-,"0,02","0,15","71,79",-,"0,76","1,35","0,15","48,27%","8,64%",-%,"23,80","R$ 22,59","13,98","R$ 19,76","4,06%","-8,84","38,37","71,72",-,"0,73","4,70","1,03","152,44","0,27","6,19","17,29","3,08%","11,34%","11,13%","R$ 0,0331",PETZ3,ON,"22,59","35,11%","4,39%","14,32%","1,31"
-%,"-0,73%","0,97","0,88",-,-,"1,73","1,58","0,80","0,37","12,09","11,17%","31,90%","34,90%","160,00","R$ 44,99","14,00","R$ 36,50","17,01%","-0,59","-1,07","1,76","1,61","2,01","0,45","-0,02","3,30","-1,01","0,56","-0,44","13,53%","-13,44%","-27,44%","R$ 0,0000",MWET3,ON,"39,90","185,00%","-2,66%","1,04%","-89,91"
-%,-%,-,-,-,-,-,-,-,-,"0,00",-%,-%,-%,"17,18","R$ 17,18","16,32","R$ 16,32",-%,-,-,-,-,-,-,-,-,-,-,-,-%,-%,-%,"R$ 0,0000",ALLD3,ON,"16,32","-5,01%","-2,57%","-5,01%",-
"7,78%","2,59%","1,85","0,89","0,41","2,22","12,60","6,03","0,32","0,88","1,27","30,16%","26,71%","55,84%","33,00","R$ 16,68","16,68","R$ 16,68","11,94%","-0,61","-21,29","5,89","2,82","0,61","0,51","-0,91","13,18","0,39","1,57","1,32","3,87%","9,98%","10,23%","R$ 0,3703",MRSA5B,PNA,"16,68","-21,17%","-49,45%","0,00%","12,68"
"0,36%","5,56%","5,72","3,27","0,38","0,79","20,13","11,50","0,61","1,85","0,11","16,59%","4,80%","8,41%","3,24","R$ 2,59","2,23","R$ 2,53","2,89%","-0,89","1,66","13,95","7,97","0,56","0,41","-0,48","23,16","0,44","0,67","0,92","1,77%","3,98%","2,81%","R$ 0,0200",POMO3,ON,"2,54","-11,81%","-0,39%","0,00%","2,75"
-%,-%,"-1,48",-,"0,09",-,"-5,10",-,"0,00","0,00","-0,86",-%,-%,-%,"4,87","R$ 3,20","1,85","R$ 2,64",-%,"-0,08","-0,44","-3,81",-,"0,67","0,08","0,05","-3,41","0,33",-,"0,23","-2,26%","-6,76%","-5,56%","R$ 0,0000",JBDU3,ON,"2,93","33,79%","0,00%","-8,44%","12,70"
-%,-%,"8,80","10,48","0,56",-,"31,10","37,06","0,03","0,61","-0,20","84,53%","113,07%","94,89%",-,R$ -,-,R$ -,"-26,89%","-0,79","-19,62","22,30","26,58","0,48","0,75","0,85","-93,78","0,52","25,22","1,43","-0,80%","-1,53%","1,91%","R$ 0,0000",HBRE3,ON,"18,90",-%,"0,00%",-%,"13,21"
"-10,45%","6,04%",-,-,-,"2,20","49,42","28,85","0,09",-,"1,93","57,67%","3,01%","5,16%","28,70","R$ 24,81","20,02","R$ 23,98","10,87%","-0,12",-,"46,51","27,15","0,92","0,12","-0,42","12,87","0,08","1,40","1,57","0,94%","12,23%",-%,"R$ 0,5446",ITUB3,ON,"24,81","15,29%","0,57%","1,39%","15,76"
-%,-%,-,-,-,-,-,-,-,-,"0,00",-%,-%,-%,-,R$ -,-,R$ -,-%,-,-,-,-,-,-,-,-,-,-,-,-%,-%,-%,"R$ 0,0000",MATD3,ON,"16,80",-%,"0,00%",-%,-
"13,62%","4,17%","0,83","0,43","0,13","0,69","44,41","23,09","0,51","1,58","1,38","57,23%","11,37%","21,86%","48,69","R$ 46,90","31,57","R$ 41,07","14,54%","-6,50","11,44","43,58","22,66","0,62","2,55","-132,57","34,06","0,38","4,95","6,79","7,49%","19,93%","8,47%","R$ 0,3235",LREN3,ON,"46,90","21,16%","11,91%","9,27%","6,91"
"50,84%","16,97%","4,37",-,"0,99","3,69","8,51",-,"0,48","1,25","2,31","23,05%","15,25%",-%,"21,63","R$ 16,64","14,79","R$ 15,92","8,78%","-0,39","6,78","4,14",-,"0,68","0,30","0,28","7,19","0,32","0,63","0,94","4,24%","13,06%","8,22%","R$ 0,6144",NEOE3,ON,"16,64","-1,89%","4,07%","3,16%","17,72"
-%,"-9,34%","88,48","22,42","0,20",-,"484,04","122,64","0,24","1,73","-0,25","20,50%","0,41%","1,61%","6,05","R$ 4,74","2,99","R$ 4,48","-8,66%","-1,18","1,32","395,56","100,22","0,58","0,38","-0,04","-18,63","0,42","1,61","0,91","-2,04%","-4,91%","-0,16%","R$ 0,0000",GFSA3,ON,"4,74","37,39%","1,72%","3,27%","5,18"
"18,26%","6,70%","0,58","0,55","0,08","3,36","17,59","16,58","0,24","3,01","2,04","64,30%","32,26%","34,20%","35,45","R$ 35,40","26,88","R$ 31,80","31,67%","-2,40","4,25","17,00","16,03","0,46","1,30","1,54","17,31","0,54","5,48","2,43","7,51%","14,02%","8,41%","R$ 1,1881",HYPE3,ON,"35,40","16,41%","1,35%","11,32%","14,59"
-%,-%,"-0,69",-,"-0,24",-,"13.450,20",-,"0,70","2,25","0,00","37,42%","19,66%",-%,"11,59","R$ 10,37","8,48","R$ 9,57","14,05%","-10.358,43","4.033,10","13.450,88",-,"0,61","1.840,29","-188,38","18.821,63","0,39","2.644,18","4.711,72","9,78%","25,03%","21,63%","R$ 0,0000",CURY3,ON,"10,37","9,62%","2,67%","8,36%","0,00"
"78,06%","-8,83%","-0,30","-0,30","-0,38","51,08","0,95","0,94","0,20","2,08","36,15","30,66%","392,40%","396,52%","87,38","R$ 70,00","43,69","R$ 67,50","256,85%","-2,72","3,06","1,25","1,24","0,36","1,00","0,00","1,91","0,64","4,91","1,58","52,47%","82,34%","81,43%","R$ 35,3284",PEAB4,PN,"69,16","58,30%","-1,20%","2,46%","43,91"
"33,34%","35,12%","-0,53","-0,42","-0,23","1,03","8,99","7,11","0,86","1,54","3,89","34,50%","19,35%","24,47%","76,50","R$ 76,50","21,91","R$ 67,50","9,50%","-2,75","10,94","9,65","7,63","0,61","1,60","0,18","19,65","0,39","1,87","4,15","8,16%","21,14%","21,10%","R$ 0,7875",UNIP5,PNA,"76,50","173,90%","1,90%","13,33%","18,42"
"24,38%","5,55%","-0,78","-0,64","-0,08","8,00","26,07","21,46","0,60","5,24","1,11","29,08%","13,26%","16,11%","6,22","R$ 5,74","4,07","R$ 5,50","16,10%","-1,07","1,14","6,21","5,11","0,25","0,49","0,03","5,11","0,75","0,82","0,66","9,67%","12,82%","6,74%","R$ 0,4543",DOHL4,PN,"5,68","18,58%","-0,53%","0,53%","8,67"
-%,"-44,72%","-3,90","-4,15",-,-,"-6,99","-7,43","0,02","0,93","-1,60","-22,06%","-508,80%","-478,69%","4,91","R$ 4,33","2,35","R$ 4,33","-581,90%","-2,28","-5,28","-3,09","-3,28","1,36","0,36","0,04","-2,70","-0,36","15,72","-1,00","-13,17%","-36,93%","-126,02%","R$ 0,0000",JFEN3,ON,"4,33","32,82%","0,00%","0,00%","-4,34"
"29,39%","10,93%","4,05","3,08","1,20","1,92","11,04","8,38","0,54","1,19","4,65","22,62%","16,05%","21,13%",-,"R$ 62,05",-,"R$ 58,72","10,80%","-0,95","23,77","8,78","6,67","0,71","0,76","0,63","13,05","0,29","1,41","2,60","5,83%","19,95%","11,29%","R$ 1,1630",CEEB6,PNB,"60,68",-%,"0,00%",-%,"23,31"
-%,"9,31%","170,12","10,21","1,30",-,"245,05","14,71","0,90","0,96","-4,15","16,76%","0,18%","3,07%","10,26","R$ 5,84","4,31","R$ 5,59","-6,71%","-0,14","-4,54","49,08","2,95","0,78","0,08","-0,01","-1,35","0,22","0,09","0,38","-6,02%","-27,87%","0,15%","R$ 0,0000",CEDO4,PN,"5,59","24,22%","-0,18%","-2,10%","14,89"
"25,27%","-2,51%","0,39","0,47","0,15","7,09","5,04","6,00","0,33","2,88","4,40","32,70%","57,66%","48,40%","30,14","R$ 25,64","11,85","R$ 24,13","46,04%","-1,91","2,59","4,65","5,54","0,49","0,90","0,02","5,82","0,51","2,68","1,77","15,40%","30,37%","20,53%","R$ 1,8174",CYRE3,ON,"25,64","74,42%","1,50%","6,26%","14,50"
"56,67%","-36,10%","-0,32",-,"-0,05","0,83","22,35",-,"0,07","1,17","30,01","48,92%","51,47%",-%,"202,00","R$ 202,00","52,69","R$ 184,04","169,54%","-5,65","6,15","22,17",-,"0,77","0,76","0,03","6,73","0,23","11,41","3,23","11,28%","48,02%","10,73%","R$ 1,6681",CEBR3,ON,"202,00","283,37%","1,00%","9,76%","62,49"
-%,-%,"1,81","-3,63","-0,11",-,"-23,86","47,74","0,56","1,56","-0,54","46,42%","-4,02%","2,01%","14,16","R$ 13,68","6,54","R$ 11,65","-4,07%","-1,11","3,32","-25,67","51,37","0,64","0,58","0,00","-25,35","0,36","1,03","1,59","-2,28%","-6,27%","-6,56%","R$ 0,0000",CEAB3,ON,"13,68","48,05%","8,23%","17,42%","8,61"
"56,67%","-36,10%","-0,32",-,"-0,05","1,79","22,35",-,"0,07","1,17","30,01","48,92%","51,47%",-%,"219,90","R$ 219,90","60,32","R$ 199,00","169,54%","-6,15","6,70","24,14",-,"0,77","0,83","0,03","7,33","0,23","12,42","3,52","11,28%","48,02%","10,73%","R$ 3,9263",CEBR5,PNA,"219,90","237,74%","0,00%","10,50%","62,49"
-%,-%,"-11,62",-,"-0,93",-,"137,09",-,"0,33","18,49","0,16","22,71%","22,71%",-%,"34,30","R$ 33,50","9,35","R$ 25,37","15,66%","-188,05","12,62","148,71",-,"0,05","11,23",-,"215,77","0,95","33,78","11,85","5,20%","5,49%","5,56%","R$ 0,0000",CASH3,ON,"33,50","258,29%","1,58%","32,05%","2,83"
"-35,76%","3,13%","6,73","3,07","1,73","2,24","18,91","8,64","0,30","1,07","0,09","34,64%","20,58%","45,06%","15,36","R$ 13,11","10,67","R$ 12,27","1,93%","-0,98","49,19","12,18","5,56","0,76","0,74","-1,50","129,74","0,24","2,51","3,12","0,57%","2,41%","5,17%","R$ 0,2746",CCRO3,ON,"12,27","-4,59%","-0,73%","-4,29%","3,93"
"-24,36%","5,92%","1,07","0,85","1,22",-,"6,04","4,79","2,92","1,17","1,07","18,69%","6,52%","8,21%",-,"R$ 11.091,73",-,"R$ 9.610,65","3,50%","-1.868,37","16.921,20","5.567,43","4.422,58","0,83","1.062,25","160,97","10.368,59","0,17","363,21","6.343,50","10,24%","61,18%","35,04%","R$ 0,0000",BTTL4,PN,"11.091,73",-%,"0,00%",-%,"1,75"
"-33,18%","-7,97%","6,31","5,90","7,31",-,"12,74","11,90","0,24","2,56","5,22","18,39%","12,73%","13,63%",-,R$ -,-,R$ -,"6,47%","-0,58","0,97","9,55","8,93","0,97","0,29","-0,17","18,80","0,03","1,22","11,06","1,56%","58,84%","8,37%","R$ 0,0000",CALI3,ON,"98,18",-%,"0,00%",-%,"8,87"
"46,40%","21,81%","-0,56","-0,50","-0,10","1,79","10,30","9,25","0,54","2,27","1,92","31,12%","11,60%","12,91%","34,61","R$ 27,72","18,60","R$ 25,70","8,78%","-1,94","1,86","10,86","9,75","0,64","0,68","-0,60","14,35","0,36","1,26","1,89","4,73%","13,20%","8,33%","R$ 0,4936",TEND3,ON,"27,54","28,99%","-0,36%","7,16%","14,55"
-%,-%,"-18,94","-17,38","-0,72",-,"16,46","15,10","0,31","5,09","0,46","33,98%","9,26%","10,09%","17,70","R$ 13,01","9,40","R$ 12,30","11,75%","-5,66","1,55","35,40","32,48","0,24","1,02","0,54","27,89","0,76","3,28","1,34","3,66%","4,80%","2,87%","R$ 0,0000",MTRE3,ON,"12,74","28,69%","1,03%","2,33%","9,52"
-%,"2,35%","-18,18","-3,78","-0,35",-,"193,35","40,23","0,45","2,96","-0,38","28,42%","1,78%","8,57%","126,00","R$ 68,98","59,29","R$ 61,27","-2,08%","-5,60","3,66","211,54","44,01","0,58","1,69","5,37","-181,24","0,42","3,77","4,03","-0,93%","-2,22%","0,82%","R$ 0,0000",BTOW3,ON,"68,20","5,83%","0,01%","10,77%","16,94"
-%,"42,70%","9,70","-4,74","-0,45",-,"-48,37","23,65","0,06","4,37","-1,57","-71,84%","-26,88%","54,98%","195,10","R$ 74,80","63,01","R$ 71,01","-39,81%","-1,73","5,00","-70,76","34,60","0,63","1,20","0,86","-47,79","0,37","19,02","3,27","-2,50%","-6,84%","-3,93%","R$ 0,0000",TELB3,ON,"74,80","6,86%","3,89%","3,89%","22,89"
-%,"6,86%","18,49","9,64","0,88","1,61","39,54","20,62","0,73","1,01","-0,03","15,55%","2,86%","5,48%","3,61","R$ 1,92","1,42","R$ 1,88","-0,79%","-0,55","60,59","15,54","8,11","0,56","0,32","0,41","-56,02","0,44","0,44","0,74","-0,58%","-1,33%","1,39%","R$ 0,0304",CTSA4,PN,"1,89","27,70%","0,00%","-1,56%","2,55"
-%,"-2,25%","3,50","3,42","0,41","8,61","9,99","9,77","0,16","1,71","4,04","72,63%","29,66%","30,32%","36,99","R$ 35,99","18,91","R$ 33,61","21,80%","-0,42","2,97","6,47","6,33","0,59","0,31","-0,22","8,80","0,41","1,92","0,76","3,54%","8,59%","6,62%","R$ 3,0605",ELET3,ON,"35,55","51,08%","3,95%","5,77%","47,01"
"25,31%","4,51%","1,58",-,"0,33","13,59","5,71",-,"0,40","1,18","1,43","28,37%","22,83%",-%,"6,88","R$ 6,54","4,69","R$ 6,18","20,95%","-0,51","10,21","4,21",-,"0,57","0,38","0,05","4,58","0,43","0,96","0,88","8,35%","19,28%","9,83%","R$ 0,8888",CPLE6,PNB,"6,54","30,02%","1,87%","2,83%","7,40"
"-24,36%","5,92%","1,07","0,85","1,22",-,"6,04","4,79","2,92","1,17","1,07","18,69%","6,52%","8,21%","13,30","R$ 10,40","4,10","R$ 9,48","3,50%","-1,67","15,10","4,97","3,95","0,83","0,95","0,14","9,25","0,17","0,32","5,66","10,24%","61,18%","35,04%","R$ 0,0000",BTTL3,ON,"9,90","106,25%","0,10%","3,99%","1,75"
"28,11%","4,45%",-,-,-,"9,71","21,79",-,"0,10","0,49","1,24","75,23%","26,67%",-%,"104,86","R$ 33,08","5,42","R$ 27,90","18,74%","-0,51","-2,02","15,88",-,"0,97","0,41","2,90","22,59","0,03","4,23","14,98","1,81%","66,32%",-%,"R$ 2,7170",BSLI4,PN,"27,98","416,24%","0,29%","-15,42%","1,87"
-%,"-11,36%","4,12","3,00","0,67",-,"17,05","12,40","0,56","0,95","0,52","45,00%","10,13%","13,93%","6,20","R$ 4,85","2,33","R$ 4,40","14,06%","-1,16","-41,39","12,93","9,40","0,66","0,73","1,05","9,31","0,34","1,31","2,11","7,82%","22,69%","3,90%","R$ 0,0000",CAMB3,ON,"4,85","85,11%","1,04%","9,73%","2,30"
-%,-%,"-0,26",-,"-0,16",-,"8,23",-,"0,70","1,43","0,72","60,26%","45,70%",-%,"9,69","R$ 9,69","8,30","R$ 9,05","29,23%","-4,11","26,77","8,49",-,"0,46","2,73","1,33","13,28","0,54","3,88","5,05","20,54%","38,02%","38,09%","R$ 0,0000",CMIN3,ON,"9,57","6,33%","-1,24%","5,75%","1,90"
"31,75%","4,67%","1,17","0,86","0,40","4,21","4,62","3,41","0,83","1,12","13,45","13,59%","7,69%","10,41%","62,99","R$ 62,99","35,30","R$ 57,75","5,86%","-0,36","5,52","3,51","2,59","0,81","0,22","0,06","4,61","0,19","0,27","1,21","4,86%","26,13%","12,05%","R$ 2,6132",CLSC4,PN,"62,00","66,67%","1,64%","7,36%","51,45"
"4,36%","-3,10%","1,42",-,"0,73","0,16","26,99",-,"0,93","0,80","1,36","32,84%","19,21%",-%,"116,00","R$ 60,99","59,73","R$ 60,00","11,05%","-6,02","-74,80","25,57",-,"0,65","4,59","-7,95","44,44","0,35","4,91","13,10","10,32%","29,48%","18,65%","R$ 0,0981",CEGR3,ON,"60,26","0,70%","-1,20%","0,43%","4,60"
-%,"44,77%","-2,68",-,"-14,13",-,"-2,46",-,"0,85","15,08","223,90","77,73%","30,07%",-%,-,"R$ 82,00",-,"R$ 82,00","26,29%","-0,49","0,11","0,32",-,"0,95","0,08","0,00","0,37","0,05","0,10","1,69","22,31%","460,80%","451,11%","R$ 0,0000",CORR4,PN,"82,00",-%,"0,00%",-%,"48,59"
-%,"-1,38%","-251,66","222,17",-,-,"-257,75","227,55","0,13","0,03","-230,11","17,33%","-1,55%","1,75%","28,50","R$ 15,23","5,76","R$ 14,02","-87,65%","-0,01","0,00","-3,71","3,27","2,67","0,01","0,01","-0,07","-1,67","0,06","0,00","-11,55%","-6,90%","0,62%","R$ 0,0000",TEKA4,PN,"15,05","127,69%","-1,18%","0,33%","-3.335,26"
-%,"-24,22%","0,01","0,01",-,-,"-0,30","-0,32","0,08","0,03","-4,94","48,06%","-190,02%","-181,39%","3,07","R$ 2,91","1,80","R$ 2,60","-251,06%","-0,11","-0,08","-0,72","-0,76","2,03","0,11","0,02","-0,55","-1,03","1,38","-0,10","-19,65%","-19,11%","14,89%","R$ 0,0000",HOOT4,PN,"2,71","38,27%","-4,24%","1,50%","-25,85"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-16,62%","11,62%","0,88",-,"0,14","2,62","13,08",-,"0,58","1,83","0,79","27,37%","17,19%",-%,"36,13","R$ 36,13","14,68","R$ 33,37","4,30%","-1,53","8,92","11,21",-,"0,37","1,11","-0,65","44,80","0,63","1,93","1,76","2,48%","3,94%","12,04%","R$ 0,9283",FESA4,PN,"35,39","141,08%","-1,50%","6,05%","20,06"
